Date,Open,High,Low,Close,Adj_Close,Volume,Day
9/26/13,3774.94995,3795.71997,3772.80005,3787.42993,3787.42993,1817960000,0
9/27/13,3767.88989,3788.3501,3762.66992,3781.59009,3781.59009,1699720000,1
9/30/13,3737.6001,3780.96997,3734.73999,3771.47998,3771.47998,1895760000,2
10/1/13,3774.17993,3817.97998,3774.17993,3817.97998,3817.97998,1843320000,3
10/2/13,3793.11011,3819.28003,3788.44995,3815.02002,3815.02002,1792980000,4
10/3/13,3809.8999,3816.95996,3753.16992,3774.34009,3774.34009,1884340000,5
10/4/13,3774.71997,3812.86011,3773.3999,3807.75,3807.75,1549600000,6
10/7/13,3776.63989,3800.08008,3769.75,3770.37988,3770.37988,1475990000,7
10/8/13,3772.21997,3772.48999,3694.1499,3694.83008,3694.83008,2087580000,8
10/9/13,3701.62012,3702.1499,3650.03003,3677.78003,3677.78003,2242700000,9
10/10/13,3721.58008,3764.71997,3721.11011,3760.75,3760.75,1902410000,10
10/11/13,3753.21997,3794.37012,3751.37988,3791.87012,3791.87012,1750350000,11
10/14/13,3767.48999,3816.40991,3766.28003,3815.28003,3815.28003,1455160000,12
10/15/13,3810.71997,3824.43994,3789.67993,3794.01001,3794.01001,1745560000,13
10/16/13,3815,3840.47998,3814.1499,3839.42993,3839.42993,1744000000,14
10/17/13,3822.8501,3863.48999,3821.42993,3863.1499,3863.1499,1975140000,15
10/18/13,3893.36011,3914.92993,3882.06006,3914.28003,3914.28003,1943090000,16
10/21/13,3922.6499,3931.44995,3909.90991,3920.05005,3920.05005,1674470000,17
10/22/13,3935.54004,3947.66992,3904.06006,3929.57007,3929.57007,1890500000,18
10/23/13,3907.30005,3911.63989,3887.66992,3907.07007,3907.07007,1915030000,19
10/24/13,3911.61011,3932.6001,3907.54004,3928.95996,3928.95996,2054350000,20
10/25/13,3955.97998,3961.1001,3927.5,3943.36011,3943.36011,2225780000,21
10/28/13,3942.56006,3947.58008,3927.09009,3940.12988,3940.12988,1904810000,22
10/29/13,3954.34009,3957.12012,3934.93994,3952.34009,3952.34009,1897380000,23
10/30/13,3962.3999,3966.70996,3919.13989,3930.62012,3930.62012,1923000000,24
10/31/13,3924.34009,3945.04004,3909.26001,3919.70996,3919.70996,2139650000,25
11/1/13,3932.44995,3938.47998,3904.19995,3922.04004,3922.04004,1949460000,26
11/4/13,3932.6001,3937.5,3919.45996,3936.59009,3936.59009,1817880000,27
11/5/13,3925.06006,3947.27002,3909.62988,3939.86011,3939.86011,1934630000,28
11/6/13,3952.17993,3955.96997,3920.90991,3931.94995,3931.94995,2020160000,29
11/7/13,3935.81006,3938.33008,3855.07007,3857.33008,3857.33008,2303320000,30
11/8/13,3871.23999,3919.22998,3869.12012,3919.22998,3919.22998,1981740000,31
11/11/13,3913.63989,3925.34009,3904.71997,3919.79004,3919.79004,1595340000,32
11/12/13,3907.82007,3922.27002,3902.66992,3919.91992,3919.91992,1776860000,33
11/13/13,3899.37988,3965.58008,3899.31006,3965.58008,3965.58008,1827220000,34
11/14/13,3956.46997,3975.88989,3949.01001,3972.73999,3972.73999,1965350000,35
11/15/13,3978.27002,3985.96997,3969.21997,3985.96997,3985.96997,1899150000,36
11/18/13,3990.06006,3994.96997,3942.8501,3949.07007,3949.07007,1829870000,37
11/19/13,3945.97998,3960.43994,3923.46997,3931.55005,3931.55005,1747840000,38
11/20/13,3940.97998,3952.08008,3911.61011,3921.27002,3921.27002,1721160000,39
11/21/13,3938.11011,3970.90991,3936.82007,3969.15991,3969.15991,1684250000,40
11/22/13,3977.31006,3991.65991,3973,3991.6499,3991.6499,1730280000,41
11/25/13,4004.37012,4007.09009,3987.15991,3994.57007,3994.57007,1795760000,42
11/26/13,3996.69995,4026.98999,3989.48999,4017.75,4017.75,1907680000,43
11/27/13,4026.91992,4045.81006,4023.6499,4044.75,4044.75,1477020000,44
11/29/13,4057.15991,4069.69995,4055.44995,4059.88989,4059.88989,853500000,45
12/2/13,4065.65991,4068.48999,4040.87988,4045.26001,4045.26001,1680380000,46
12/3/13,4038.98999,4050.08008,4022.12012,4037.19995,4037.19995,1875010000,47
